Old_Profile_ID,Site,New_Profile_ID,Landform,Layer,T_Depth,B_Depth,Sample_Thickness,Horizon,Master_Horizon,Horizon_Thickness,BD,Rock_Fragments,Sand,Silt,Clay,LOI,C,13C,15N,N,pH,EC,Xlf,Xfd
CR_16,TZ,TZt,Terrace,Buried,399,407,8,3Btgk1,B,20,1.59,,0.1,45.5,54.4,7.9,,,,,8.3,0.93,1.49E-07,-0.8
CR_16,TZ,TZt,Terrace,Buried,412,422,10,3Btgk1,B,20,1.53,,0.6,35.9,63.5,5.8,0.62,-24.7,7.76,0.08,8.5,0.88,1.06E-07,-0.3
CR_19,DC,DCt,Terrace,Surface,0,6,6,A,A,3,1.15,,4.3,54.9,40.8,7.2,2.19,-28.15,-1.22,0.16,3.7,0.42,1.05E-07,3
CR_19,DC,DCt,Terrace,Surface,10,20,10,Btg1,B,27,1.34,,7.5,53.3,39.2,4,0.28,-25.52,7.24,0.04,3.8,0.22,1.90E-07,5.9
CR_19,DC,DCt,Terrace,Surface,21,31,10,Btg1,B,27,1.46,,5.6,50,44.4,4,,,,,3.9,0.21,1.34E-07,5.2
CR_19,DC,DCt,Terrace,Surface,31,40,9,Btg2,B,24,1.4,,5.2,51.6,43.2,4.1,0.43,-24.05,7.9,0.06,3.6,0.24,1.24E-07,3.8
CR_19,DC,DCt,Terrace,Surface,43,53,10,Btg2,B,24,1.48,,4.6,49.1,46.3,4.2,,,,,3.8,0.2,1.06E-07,3.4
CR_19,DC,DCt,Terrace,Surface,54,62,8,Btg3,B,30,1.44,,3.6,39.2,57.2,4.7,,,,,3.9,0.27,9.14E-08,1.6
CR_19,DC,DCt,Terrace,Surface,65,74,9,Btg3,B,30,1.43,,4.6,48.3,47.1,4,0.34,-23.64,7.77,0.05,3.9,0.25,1.00E-07,0.9
CR_19,DC,DCt,Terrace,Surface,75,84,9,Btg3,B,30,1.54,,3,32.3,64.7,5.4,,,,,4.1,0.4,9.43E-08,-1
CR_19,DC,DCt,Terrace,Buried,80,90,10,Btg4,B,16,1.48,,2.9,43.9,53.2,4.7,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,90,100,10,Btg4,B,16,1.47,,3.8,44.2,52,4.8,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,102,110,8,Btgb1,B,45,1.56,,2.2,43.1,54.7,5,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,111,120,9,Btgb1,B,45,1.58,,2.5,43.2,54.3,4.8,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,121,129,8,Btgb1,B,45,1.38,,3.1,44.2,52.7,4.7,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,130,140,10,Btgb1,B,45,1.43,,3.6,44.1,52.3,4.9,,,,,,,,
CR_19,DC,DCt,Terrace,Buried,140,150,10,Btgb1,B,45,1.4,,3.3,46.7,50,4.5,,,,,,,,
CR_1,CR,CRt,Terrace,Surface,,3,10,A,A,3,1.17,,9.7,71.2,19.1,7,1.93,-27.52,2.55,0.16,4.214,0.2993,1.85E-07,4.7
CR_1,CR,CRt,Terrace,Surface,,16,10,Btg1,B,21,1.39,,4.3,73,22.7,3.8,0.41,-26.04,7.63,0.04,3.832,0.1285,8.32E-08,2.4
CR_1,CR,CRt,Terrace,Surface,,37,10,Btg1,B,21,1.35,,3.2,62.9,33.9,4.4,0.25,-25.61,8.38,0.04,3.786,0.1394,1.01E-07,2.1
CR_1,CR,CRt,Terrace,Surface,,47,10,Btg2,B,19,1.39,,2.5,55.6,42,4.6,0.27,-26.08,6.64,0.04,3.778,0.1491,8.75E-08,0.3
CR_1,CR,CRt,Terrace,Surface,,66,10,Btg3,B,34,1.32,,2.8,64.4,32.8,4.5,0.26,-26.46,8.69,0.03,3.972,0.13321,1.01E-07,3.9
CR_1,CR,CRt,Terrace,Buried,,100,10,2Bssgb,B,55,1.44,,3.2,66.5,30.3,4.1,0.22,-26.47,5.55,0.02,5.49,1.254,1.75E-07,2.7
CR_1,CR,CRt,Terrace,Buried,,128,10,2Bssgb,B,55,1.36,,2.7,45.2,52.1,4.5,0.16,-25.09,5.59,0.03,4.707,0.4042,8.97E-08,-1.2
CR_1,CR,CRt,Terrace,Buried,,155,10,2Btgb,B,27,1.46,,4.7,46.7,48.5,4.1,0.12,-24.2,6.88,0.03,5.357,1.017,1.02E-07,-0.2
CR_1,CR,CRt,Terrace,Buried,,184,10,2BCgb,BC,29,1.48,,3.8,51,45.3,4.6,0.15,-25.53,6.35,0.04,4.778,0.2813,1.93E-07,2.3
